res_id,name,establishment,url,address,city,locality,latitude_res,longitude_res,locality_verbose,cuisines,timings,average_cost_for_two,highlights,aggregate_rating,rating_text,fclass,name.1,latitude_uni,longitude_uni,proximity
51747,KC Das - Klassic Foods,Sweet Shop,https://www.zomato.com/bangalore/kc-das-klassic-foods-jayanagar-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1522, South End B Cross, 28th Main, 9th Block, Jayanagar, Bangalore",Bangalore,Jayanagar,12.91826999,77.59260703,"Jayanagar, Bangalore","Mithai, Street Food",10 AM to 10:30 PM,200,"['No Alcohol Available', 'Cash', 'Debit Card', 'No Seating Available', 'Takeaway Available', 'Credit Card', 'Pure Veg', 'Desserts and Bakes']",3.1,Average,,,,,
59226,Asha Sweets Centre,Dessert Parlour,https://www.zomato.com/bangalore/asha-sweets-centre-vijay-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"13, Harsha Keerthi,  First Main Road,  Binny Layout, Club Road, Vijay Nagar, Bangalore",Bangalore,Vijay Nagar,12.96670933,77.54381664,"Vijay Nagar, Bangalore","Mithai, Street Food",8:30 AM to 10 PM,250,"['Cash', 'Debit Card', 'Delivery', 'No Alcohol Available', 'No Seating Available', 'Credit Card', 'Takeaway Available', 'Pure Veg', 'Air Conditioned', 'Desserts and Bakes']",3.7,Good,,,,,
51749,KC Das - The Delite Foods,Sweet Shop,https://www.zomato.com/bangalore/kc-das-the-delite-foods-btm?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"252, 7th Cross, 2nd Stage, Mico Layout, BTM, Bangalore",Bangalore,BTM,12.91357854,77.60561641,"BTM, Bangalore","Mithai, Street Food",10 AM to 9:30 PM,200,"['Cash', 'Breakfast', 'Lunch', 'Dinner', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Digital Payments Accepted', 'Pure Veg', 'Desserts and Bakes', 'Free Parking', 'Air Conditioned', 'Indoor Seating']",3.4,Average,,,,,
51748,KC Das - Sweet Bite,Sweet Shop,https://www.zomato.com/bangalore/kc-das-sweet-bite-frazer-town?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"3D, Wheeler Road, Frazer Town, Bangalore",Bangalore,Frazer Town,12.99447302,77.61551175,"Frazer Town, Bangalore","Mithai, Street Food",10 AM to 10:30 PM,200,"['Delivery', 'No Alcohol Available', 'Takeaway Available', 'Credit Card', 'Cash', 'Debit Card', 'Desserts and Bakes', 'Indoor Seating', 'Pure Veg']",3.6,Good,,,,,
18748676,Kanti Sweets,Sweet Shop,https://www.zomato.com/bangalore/kanti-sweets-hennur-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"61/2, Kothanur Village, Hennur Bagalur Main Road, Hennur, Bangalore",Bangalore,Hennur,13.06081265,77.64869772,"Hennur, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Takeaway Available', 'Debit Card', 'Cash', 'Delivery', 'Outdoor Seating', 'Pure Veg', 'Desserts and Bakes', 'Indoor Seating']",3.8,Good,,,,,
50559,Kanti Sweets,Sweet Shop,https://www.zomato.com/bangalore/kanti-sweets-1-majestic?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"7, Alankar Pearl Plaza, K.G. Road, Majestic, Bangalore",Bangalore,Majestic,12.97541939,77.57575136,"Majestic, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Cash', 'No Alcohol Available', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Indoor Seating', 'Desserts and Bakes', 'Pure Veg', 'Sodexo']",3.3,Average,,,,,
18702026,Kanti Sweets,Sweet Shop,https://www.zomato.com/bangalore/kanti-sweets-thippasandra-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"34, Renuka Complex, New Thippasandra Main Road, Thippasandra, Bangalore",Bangalore,Thippasandra,12.97294842,77.64800973,"Thippasandra, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Delivery', 'Credit Card', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Desserts and Bakes']",3.7,Good,,,,,
61540,Kanti Sweets,Sweet Shop,https://www.zomato.com/bangalore/kanti-sweets-1-jalahalli?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"13, HMT Factory Main Road, Opposite Jalahalli Police Station, Bangalore",Bangalore,Jalahalli,13.04882212,77.54992906,"Jalahalli, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Credit Card', 'No Alcohol Available', 'Delivery', 'Air Conditioned', 'Pure Veg', 'Indoor Seating', 'Desserts and Bakes']",3.8,Good,,,,,
18630460,Kanti Sweets,Sweet Shop,https://www.zomato.com/bangalore/kanti-sweets-basaveshwara-nagar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Shop 737/B, Chinnu Complex, 9th Main , 3rd Stage, 3rd Block, Basaveshwara Nagar, Bangalore",Bangalore,Basaveshwara Nagar,12.99301892,77.53898263,"Basaveshwara Nagar, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Dinner', 'Delivery', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes']",3.7,Good,,,,,
18181358,Kanti Sweets,Sweet Shop,https://www.zomato.com/bangalore/kanti-sweets-jalahalli-bangalore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1243, 6th Cross, 2nd Block, BEL Layout, Vidyaranyapura, Jalahalli, Bangalore",Bangalore,Jalahalli,13.07041459,77.55554158,"Jalahalli, Bangalore","Mithai, Street Food",9:30 AM to 10 PM,500,"['Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'No Alcohol Available', 'Dinner', 'Delivery', 'Debit Card', 'Indoor Seating', 'Desserts and Bakes', 'Pure Veg']",3.6,Good,,,,,
